"gender","decade","speaker","word","preceding","stress","following","foll.broad","traj","duration","measurement.no","f1","f2","f3"
"M",2000,"00-O-m01","there","@","schwa","V","unrounded.vowel","0007-00-O-m01-mw74__17.560-19.558.wav",0.092656217,5,455.5808656,1774.741012,2653.758542
"M",2000,"00-O-m01","there","@","schwa","V","unrounded.vowel","0007-00-O-m01-mw74__17.560-19.558.wav",0.092656217,6,455.5808656,1731.207289,2653.758542
"M",2000,"00-O-m01","there","@","schwa","V","unrounded.vowel","0007-00-O-m01-mw74__17.560-19.558.wav",0.092656217,7,466.9703872,1673.55606,2554.96431
"M",2000,"00-O-m01","there","@","schwa","V","unrounded.vowel","0007-00-O-m01-mw74__17.560-19.558.wav",0.092656217,8,501.1389522,1624.418802,2539.863326
"M",2000,"00-O-m01","there","@","schwa","V","unrounded.vowel","0007-00-O-m01-mw74__17.560-19.558.wav",0.092656217,9,527.4026731,1594.53303,2596.810934
"M",2000,"00-O-m01","there","@","schwa","V","unrounded.vowel","0007-00-O-m01-mw74__17.560-19.558.wav",0.092656217,10,471.4095415,1545.472303,2571.630112
"M",2000,"00-O-m01","floor","5","full","none","none","0008-00-O-m01-mw74__22.501-24.643.wav",0.328268676,0,418.8639781,831.4350797,2827.164029
"M",2000,"00-O-m01","floor","5","full","none","none","0008-00-O-m01-mw74__22.501-24.643.wav",0.328268676,1,410.022779,820.0455581,2790.432802
"M",2000,"00-O-m01","floor","5","full","none","none","0008-00-O-m01-mw74__22.501-24.643.wav",0.328268676,2,444.191344,865.6036446,2756.264237
"M",2000,"00-O-m01","floor","5","full","none","none","0008-00-O-m01-mw74__22.501-24.643.wav",0.328268676,3,455.5808656,933.4395575,2767.653759
"M",2000,"00-O-m01","floor","5","full","none","none","0008-00-O-m01-mw74__22.501-24.643.wav",0.328268676,4,615.0341686,1206.162298,2640.45084
"M",2000,"00-O-m01","floor","5","full","none","none","0008-00-O-m01-mw74__22.501-24.643.wav",0.328268676,5,660.5922551,1161.731207,2518.419286
"M",2000,"00-O-m01","floor","5","full","none","none","0008-00-O-m01-mw74__22.501-24.643.wav",0.328268676,6,626.4236902,1241.457859,2528.473804
"M",2000,"00-O-m01","floor","5","full","none","none","0008-00-O-m01-mw74__22.501-24.643.wav",0.328268676,7,649.2027335,1195.899772,2450.248329
"M",2000,"00-O-m01","floor","5","full","none","none","0008-00-O-m01-mw74__22.501-24.643.wav",0.328268676,8,660.5922551,1173.120729,2412.117496
"M",2000,"00-O-m01","floor","5","full","none","none","0008-00-O-m01-mw74__22.501-24.643.wav",0.328268676,9,660.5922551,1180.452165,2515.662992
"M",2000,"00-O-m01","floor","5","full","none","none","0008-00-O-m01-mw74__22.501-24.643.wav",0.328268676,10,637.8132118,1195.899772,2541.649518
"M",2000,"00-O-m01","there","1","full","@","unrounded.vowel","0010-00-O-m01-mw74__30.649-33.908.wav",0.135162049,0,394.7118354,2132.249402,2720.658531
"M",2000,"00-O-m01","there","1","full","@","unrounded.vowel","0010-00-O-m01-mw74__30.649-33.908.wav",0.135162049,1,478.3599089,2266.514806,2722.095672
"M",2000,"00-O-m01","there","1","full","@","unrounded.vowel","0010-00-O-m01-mw74__30.649-33.908.wav",0.135162049,2,436.0616933,2186.788155,2699.316629
"M",2000,"00-O-m01","there","1","full","@","unrounded.vowel","0010-00-O-m01-mw74__30.649-33.908.wav",0.135162049,3,432.8018223,2152.61959,2699.316629
"M",2000,"00-O-m01","there","1","full","@","unrounded.vowel","0010-00-O-m01-mw74__30.649-33.908.wav",0.135162049,4,466.9703872,2118.451025,2687.927107
"M",2000,"00-O-m01","there","1","full","@","unrounded.vowel","0010-00-O-m01-mw74__30.649-33.908.wav",0.135162049,5,466.9703872,2061.503417,2733.485194
"M",2000,"00-O-m01","there","1","full","@","unrounded.vowel","0010-00-O-m01-mw74__30.649-33.908.wav",0.135162049,6,466.9703872,1970.387244,2699.316629
"M",2000,"00-O-m01","there","1","full","@","unrounded.vowel","0010-00-O-m01-mw74__30.649-33.908.wav",0.135162049,7,501.1389522,1913.439636,2676.537585
"M",2000,"00-O-m01","there","1","full","@","unrounded.vowel","0010-00-O-m01-mw74__30.649-33.908.wav",0.135162049,8,488.9506389,1845.102506,2686.489282
"M",2000,"00-O-m01","there","1","full","@","unrounded.vowel","0010-00-O-m01-mw74__30.649-33.908.wav",0.135162049,9,468.5255723,1810.933941,2653.758542
"M",2000,"00-O-m01","there","1","full","@","unrounded.vowel","0010-00-O-m01-mw74__30.649-33.908.wav",0.135162049,10,517.7808296,1751.588625,2687.927107
"M",2000,"00-O-m01","winter","@","schwa","n","coronal","0011-00-O-m01-mw74__30.649-33.908.wav",0.117687682,0,445.8308171,1762.026696,2763.071661
"M",2000,"00-O-m01","winter","@","schwa","n","coronal","0011-00-O-m01-mw74__30.649-33.908.wav",0.117687682,1,512.5284738,1810.933941,2687.927107
"M",2000,"00-O-m01","winter","@","schwa","n","coronal","0011-00-O-m01-mw74__30.649-33.908.wav",0.117687682,2,512.5284738,1810.933941,2676.537585
"M",2000,"00-O-m01","winter","@","schwa","n","coronal","0011-00-O-m01-mw74__30.649-33.908.wav",0.117687682,3,494.5628542,1781.5788,2665.148064
"M",2000,"00-O-m01","winter","@","schwa","n","coronal","0011-00-O-m01-mw74__30.649-33.908.wav",0.117687682,4,466.9703872,1685.649203,2665.148064
"M",2000,"00-O-m01","winter","@","schwa","n","coronal","0011-00-O-m01-mw74__30.649-33.908.wav",0.117687682,5,468.4006988,1685.649203,2672.269353
"M",2000,"00-O-m01","winter","@","schwa","n","coronal","0011-00-O-m01-mw74__30.649-33.908.wav",0.117687682,6,478.3599089,1662.870159,2676.537585
"M",2000,"00-O-m01","winter","@","schwa","n","coronal","0011-00-O-m01-mw74__30.649-33.908.wav",0.117687682,7,478.3599089,1640.091116,2687.927107
"M",2000,"00-O-m01","winter","@","schwa","n","coronal","0011-00-O-m01-mw74__30.649-33.908.wav",0.117687682,8,489.7494305,1640.091116,2676.537585
"M",2000,"00-O-m01","winter","@","schwa","n","coronal","0011-00-O-m01-mw74__30.649-33.908.wav",0.117687682,9,434.3237183,1605.922551,2646.588277
"M",2000,"00-O-m01","winter","@","schwa","n","coronal","0011-00-O-m01-mw74__30.649-33.908.wav",0.117687682,10,203.079994,1670.106054,2577.199163
"M",2000,"00-O-m01","brother","@","schwa","w","labial","0012-00-O-m01-mw74__34.421-36.167.wav",0.120111804,0,478.3599089,1205.898349,2904.328018
"M",2000,"00-O-m01","brother","@","schwa","w","labial","0012-00-O-m01-mw74__34.421-36.167.wav",0.120111804,1,436.386619,1264.395685,2858.769932
"M",2000,"00-O-m01","brother","@","schwa","w","labial","0012-00-O-m01-mw74__34.421-36.167.wav",0.120111804,2,398.6332574,1298.405467,2858.769932
"M",2000,"00-O-m01","brother","@","schwa","w","labial","0012-00-O-m01-mw74__34.421-36.167.wav",0.120111804,3,421.4123007,1322.609746,2847.38041
"M",2000,"00-O-m01","brother","@","schwa","w","labial","0012-00-O-m01-mw74__34.421-36.167.wav",0.120111804,4,432.8018223,1366.742597,2675.977567
"M",2000,"00-O-m01","brother","@","schwa","w","labial","0012-00-O-m01-mw74__34.421-36.167.wav",0.120111804,5,432.8018223,1423.690205,2630.979499
"M",2000,"00-O-m01","brother","@","schwa","w","labial","0012-00-O-m01-mw74__34.421-36.167.wav",0.120111804,6,455.5808656,1400.911162,2630.979499
"M",2000,"00-O-m01","brother","@","schwa","w","labial","0012-00-O-m01-mw74__34.421-36.167.wav",0.120111804,7,466.9703872,1378.132118,2619.589977
"M",2000,"00-O-m01","brother","@","schwa","w","labial","0012-00-O-m01-mw74__34.421-36.167.wav",0.120111804,8,457.1700591,1356.809685,2585.421412
"M",2000,"00-O-m01","brother","@","schwa","w","labial","0012-00-O-m01-mw74__34.421-36.167.wav",0.120111804,9,478.3599089,1298.405467,2596.810934
"M",2000,"00-O-m01","brother","@","schwa","w","labial","0012-00-O-m01-mw74__34.421-36.167.wav",0.120111804,10,352.5200009,1173.120729,2580.390914
"M",2000,"00-O-m01","there","@","schwa","w","labial","0013-00-O-m01-mw74__36.167-40.578.wav",0.074918692,0,527.0958965,1457.85877,2608.200456
"M",2000,"00-O-m01","there","@","schwa","w","labial","0013-00-O-m01-mw74__36.167-40.578.wav",0.074918692,1,535.3075171,1457.85877,2562.642369
"M",2000,"00-O-m01","there","@","schwa","w","labial","0013-00-O-m01-mw74__36.167-40.578.wav",0.074918692,2,558.0865604,1446.469248,2596.810934
"M",2000,"00-O-m01","there","@","schwa","w","labial","0013-00-O-m01-mw74__36.167-40.578.wav",0.074918692,3,546.6970387,1435.079727,2596.810934
"M",2000,"00-O-m01","there","@","schwa","w","labial","0013-00-O-m01-mw74__36.167-40.578.wav",0.074918692,4,551.9995422,1423.690205,2590.263939
"M",2000,"00-O-m01","there","@","schwa","w","labial","0013-00-O-m01-mw74__36.167-40.578.wav",0.074918692,5,580.8656036,1400.911162,2585.421412
"M",2000,"00-O-m01","there","@","schwa","w","labial","0013-00-O-m01-mw74__36.167-40.578.wav",0.074918692,6,592.2551253,1287.015945,2585.421412
"M",2000,"00-O-m01","there","@","schwa","w","labial","0013-00-O-m01-mw74__36.167-40.578.wav",0.074918692,7,603.6446469,1275.626424,2596.810934
"M",2000,"00-O-m01","there","@","schwa","w","labial","0013-00-O-m01-mw74__36.167-40.578.wav",0.074918692,8,615.0341686,1275.626424,2617.280108
"M",2000,"00-O-m01","there","@","schwa","w","labial","0013-00-O-m01-mw74__36.167-40.578.wav",0.074918692,9,592.2551253,1241.457859,2665.148064
"M",2000,"00-O-m01","there","@","schwa","w","labial","0013-00-O-m01-mw74__36.167-40.578.wav",0.074918692,10,558.0865604,1230.068337,2642.369021
"M",2000,"00-O-m01","other","@","schwa","k","velar","0014-00-O-m01-mw74__36.167-40.578.wav",0.11452771,0,563.271331,1194.438165,2700.211778
"M",2000,"00-O-m01","other","@","schwa","k","velar","0014-00-O-m01-mw74__36.167-40.578.wav",0.11452771,1,569.476082,1311.77207,2560.308169
"M",2000,"00-O-m01","other","@","schwa","k","velar","0014-00-O-m01-mw74__36.167-40.578.wav",0.11452771,2,580.8656036,1332.574032,2505.694761
"M",2000,"00-O-m01","other","@","schwa","k","velar","0014-00-O-m01-mw74__36.167-40.578.wav",0.11452771,3,589.5070517,1332.574032,2357.63098
"M",2000,"00-O-m01","other","@","schwa","k","velar","0014-00-O-m01-mw74__36.167-40.578.wav",0.11452771,4,539.4366661,1321.18451,2323.462415
"M",2000,"00-O-m01","other","@","schwa","k","velar","0014-00-O-m01-mw74__36.167-40.578.wav",0.11452771,5,512.5284738,1309.794989,2277.904328
"M",2000,"00-O-m01","other","@","schwa","k","velar","0014-00-O-m01-mw74__36.167-40.578.wav",0.11452771,6,501.1389522,1287.015945,2289.29385
"M",2000,"00-O-m01","other","@","schwa","k","velar","0014-00-O-m01-mw74__36.167-40.578.wav",0.11452771,7,512.5284738,1264.236902,2334.851936
"M",2000,"00-O-m01","other","@","schwa","k","velar","0014-00-O-m01-mw74__36.167-40.578.wav",0.11452771,8,581.7314813,1275.842893,2357.63098
"M",2000,"00-O-m01","other","@","schwa","k","velar","0014-00-O-m01-mw74__36.167-40.578.wav",0.11452771,9,626.4236902,1298.405467,2346.241458
"M",2000,"00-O-m01","other","@","schwa","k","velar","0014-00-O-m01-mw74__36.167-40.578.wav",0.11452771,10,660.5922551,1296.973882,2277.904328
"M",2000,"00-O-m01","remember","@","schwa","w","labial","0015-00-O-m01-mw74__36.167-40.578.wav",0.191379431,0,544.8247377,1378.132118,2551.252847
"M",2000,"00-O-m01","remember","@","schwa","w","labial","0015-00-O-m01-mw74__36.167-40.578.wav",0.191379431,1,566.1047791,1411.442144,2551.252847
"M",2000,"00-O-m01","remember","@","schwa","w","labial","0015-00-O-m01-mw74__36.167-40.578.wav",0.191379431,2,518.444648,1345.608035,2596.810934
"M",2000,"00-O-m01","remember","@","schwa","w","labial","0015-00-O-m01-mw74__36.167-40.578.wav",0.191379431,3,506.9051366,1423.64987,2619.589977
"M",2000,"00-O-m01","remember","@","schwa","w","labial","0015-00-O-m01-mw74__36.167-40.578.wav",0.191379431,4,518.4391844,1446.469248,2585.421412
"M",2000,"00-O-m01","remember","@","schwa","w","labial","0015-00-O-m01-mw74__36.167-40.578.wav",0.191379431,5,478.3527458,1423.690205,2517.084282
"M",2000,"00-O-m01","remember","@","schwa","w","labial","0015-00-O-m01-mw74__36.167-40.578.wav",0.191379431,6,492.8634733,1366.742597,2471.526196
"M",2000,"00-O-m01","remember","@","schwa","w","labial","0015-00-O-m01-mw74__36.167-40.578.wav",0.191379431,7,573.0209856,1366.742597,2471.526196
